City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Komsomolskiy,UZ,2021-06-15 17:53:57,40.4272,71.7189,72.82,28,46,6.91
88,Tuatapere,NZ,2021-06-15 17:53:57,-46.1333,167.6833,46.81,96,100,2.28
89,Verkhnevilyuysk,RU,2021-06-15 17:53:58,63.4453,120.3167,47.14,93,19,3.62
90,Nador,MA,2021-06-15 17:53:58,35.174,-2.9287,82.47,47,20,6.91
91,Chapais,CA,2021-06-15 17:53:58,49.7834,-74.8492,55.18,25,4,13.49
92,Am Timan,TD,2021-06-15 17:53:59,11.0297,20.2827,90.57,29,87,8.99
93,Payo,ID,2021-06-15 17:53:59,-3.7508,103.6372,72.18,97,83,1.19
94,Benemerito De Las Americas,MX,2021-06-15 17:53:59,16.5167,-90.6439,93.33,47,80,2.15
95,Tiksi,RU,2021-06-15 17:53:59,71.6872,128.8694,36.64,64,10,8.32
96,Havre-Saint-Pierre,CA,2021-06-15 17:54:00,50.2334,-63.5986,57.56,88,90,9.22
97,Uthal,PK,2021-06-15 17:54:00,25.8072,66.6219,84.2,76,39,11.95
98,Areka,ET,2021-06-15 17:54:00,7.0667,37.7,62.85,88,96,0.83
99,Broome,US,2021-06-15 17:54:01,42.2506,-75.833,65.17,86,90,5.01
100,Dalianwan,CN,2021-06-15 17:54:01,39.0286,121.695,66.24,82,40,0.0
101,Peniche,PT,2021-06-15 17:54:01,39.3558,-9.3811,83.68,91,70,5.68
102,Ulaangom,MN,2021-06-15 17:54:02,49.9811,92.0667,55.17,42,32,0.27
103,Hamilton,US,2021-06-15 17:52:32,39.1834,-84.5333,80.6,47,40,5.01
104,Luderitz,NA,2021-06-15 17:54:02,-26.6481,15.1594,60.89,68,0,3.51
105,Tilichiki,RU,2021-06-15 17:54:02,60.4667,166.1,49.17,64,28,3.4
106,Fort Frances,CA,2021-06-15 17:52:34,48.5999,-93.4003,74.16,52,1,1.99
107,Terrace,CA,2021-06-15 17:54:03,54.5163,-128.6035,51.71,93,90,4.61
108,Ketchikan,US,2021-06-15 17:51:20,55.3422,-131.6461,55.87,82,75,6.91
109,Margate,GB,2021-06-15 17:50:37,51.3813,1.3862,66.06,66,82,3.0
110,Aykhal,RU,2021-06-15 17:54:03,66.0,111.5,49.28,77,39,3.87
111,Salalah,OM,2021-06-15 17:54:04,17.0151,54.0924,82.94,85,38,3.22
112,Hilo,US,2021-06-15 17:49:39,19.7297,-155.09,78.28,77,96,4.47
113,Coihaique,CL,2021-06-15 17:54:04,-45.5752,-72.0662,35.71,86,40,5.75
114,Raver,IN,2021-06-15 17:54:04,21.25,76.0333,87.62,56,96,13.78
115,Saint-Philippe,RE,2021-06-15 17:54:05,-21.3585,55.7679,69.39,81,14,8.52
116,Sinnamary,GF,2021-06-15 17:54:05,5.3833,-52.95,82.63,77,48,7.76
117,Barguzin,RU,2021-06-15 17:54:05,53.6167,109.6167,43.63,96,98,5.97
118,Hope Mills,US,2021-06-15 17:52:16,34.9704,-78.9453,90.3,51,20,4.0
119,Turangi,NZ,2021-06-15 17:54:06,-39.0,175.9333,48.43,98,82,1.97
120,Springfield,US,2021-06-15 17:51:34,37.2153,-93.2982,89.42,53,1,1.99
121,Rianxo,ES,2021-06-15 17:54:06,42.6498,-8.8176,88.65,58,52,3.09
122,Bucerias,MX,2021-06-15 17:54:07,20.75,-105.3333,85.91,68,94,3.67
123,Thompson,CA,2021-06-15 17:54:07,55.7435,-97.8558,69.96,52,75,6.91
124,Sheltozero,RU,2021-06-15 17:54:07,61.3667,35.3667,58.55,63,100,10.56
125,Waingapu,ID,2021-06-15 17:54:08,-9.6567,120.2641,73.44,84,38,5.64
